bucket_15m,site_id,vo,activity,site,jobs,energy_wh,cfp_g,work,ncores
2026-02-09 17:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1305.499849,289.2224097,172.7607371,44503062.24,132203.91
2026-02-09 18:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1687.567505,544.6119061,916.6908292,55635318.75,172955.6121
2026-02-09 18:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1356.306718,525.1687244,817.6176574,46814791.15,140717.3224
2026-02-09 18:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,983.384298,688.9874378,773.3091284,35758443.95,100529.008
2026-02-09 18:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,876.6898728,517.6316796,600.727082,31344524.88,87696.29075
2026-02-09 19:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1408.129724,910.3467928,1261.103858,52709378.58,149418.5307
2026-02-09 19:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,973.2229242,848.0375339,832.568208,34685616.68,102219.1707
2026-02-09 19:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1294.322337,963.0982733,778.0317737,44349448.86,135897.2286
2026-02-09 19:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1089.062586,706.2462724,688.7422357,36738560.72,116178.6631
2026-02-09 20:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,626.7200765,474.8976754,397.1590487,21412153.31,66913.5487
2026-02-09 20:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,305.6206633,152.9217966,153.538024,9994054.935,32797.30044
2026-02-09 20:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,415.3635007,318.6111212,236.4244332,14634552.26,43000.87561
2026-02-09 20:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,629.7684886,302.7925763,165.3847293,23818906.76,67414.33766
2026-02-09 21:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,577.9454821,595.9960547,662.2949169,21642445.55,62844.63835
2026-02-09 21:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1005.73932,2145.731742,4904.372253,34791191.49,107352.2576
2026-02-09 21:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,916.3192307,724.7896799,983.8387626,34282327.72,99527.43005
2026-02-09 21:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,628.7523512,561.6026122,589.1102597,22449772.51,67602.13352
2026-02-09 22:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1055.530052,556.5118878,549.7519303,37371680.6,112923.5349
2026-02-09 22:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1078.901212,603.8050623,1043.300363,39999062.97,115302.2825
2026-02-09 22:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1016.916832,365.5231023,479.3195255,36736826.14,110482.1887
2026-02-09 22:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1066.707563,521.6440261,1238.206454,37797532.46,111671.5625
2026-02-09 23:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,1258.757529,446.3236995,1079.588893,47493516.51,133080.2907
2026-02-09 23:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,793.3666073,249.8410068,570.14059,29130551.15,84315.96523
2026-02-09 23:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,505.7997278,109.7352491,269.587445,17696986.81,50324.91422
2026-02-09 23:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,564.7356961,769.1400175,493.1426124,20691398.03,56083.98732
2026-02-10 00:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,241.6040082,503.9612733,272.0284777,9039391.378,25285.46597
2026-02-10 00:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,155.2323306,359.6003678,197.0005233,5646692.782,15707.87701
2026-02-10 00:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,216.2005736,467.1830219,261.1933364,8069962.209,22405.92942
2026-02-10 00:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,297.4915643,326.8769303,317.3592768,11227317.67,31545.32803
2026-02-10 01:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,564.7356961,481.449395,862.5946807,21020424.8,57774.15008
2026-02-10 01:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,389.9600662,265.6108522,221.4592088,14788442.98,40809.92389
2026-02-10 01:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,598.2682297,538.1972149,586.9990489,22213000.99,60027.70042
2026-02-10 01:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,873.6414606,785.4488747,1297.804511,31585855.43,88510.07282
2026-02-10 02:00:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,748.6565625,515.3541115,351.0130934,25720459.94,72797.81904
2026-02-10 02:15:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,472.2671942,420.8964028,305.5926676,17737061.47,50324.91422
2026-02-10 02:30:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,393.0084783,327.4936851,347.9733441,14570552.21,39933.5432
2026-02-10 02:45:00,site_1395eee1ca,vo_21c43780d6,grid,grid_site_b12846e4f4,479.3801559,563.3720367,618.2322368,17443286.75,48071.36388
